Notification date,Transaction date,Company,"B/S
Transaction type",Insider and/or position,"Nb. shares
Price
Value",Number of shares,Price,Value,Details
2024-02-01,2024-02-01,"Advance ZincTek Ltd
(ANO)","B
Purchase","LEV MIZIKOVSKY

Director","10,000

1.05


AUD 6,892","10,000",1.05,"AUD 10,500",
2024-01-31,2024-01-31,"LIONTOWN RESOURCES LIMITED
(LTR)","S
Sale","Tony Ottaviano

Director","1,278,783

0.58


AUD 487,820","1,278,783",0.58,"AUD 739,009",
2024-01-31,2024-01-31,"Apollo Minerals Ltd
(AON)","B
Purchase","Paul Roberts

Director","800,000

0.03


AUD 13,202","800,000",0.03,"AUD 20,000",
2024-01-31,2024-01-31,"Advance ZincTek Ltd
(ANO)","B
Purchase","LEV MIZIKOVSKY

Director","573,329

1.05


AUD 397,377","573,329",1.05,"AUD 601,995",
2024-01-30,2024-01-30,"LUNNON METALS LIMITED
(LM8)","B
Purchase","Edmund Ainscough

Director","250,000

0.30


AUD 50,105","250,000",0.30,"AUD 75,802",
2024-01-30,2024-01-30,"Advance ZincTek Ltd
(ANO)","B
Purchase","LEV MIZIKOVSKY

Director","967

10.46


AUD 6,686",967,10.46,"AUD 10,115",
2024-01-31,2024-01-29,"HORSESHOE METALS LIMITED
(HOR)","S
Sale","Alan Still

Director","500,000

0.01


AUD 1,643","500,000",0.01,"AUD 2,500",
2024-01-30,2024-01-29,"PACT GROUP HOLDINGS LTD
(PGH)","B
Purchase","Raphael Geminder

Director","920,087

0.84


AUD 507,778","920,087",0.84,"AUD 772,873",
2024-01-30,2024-01-29,"NEUROTECH INTERNATIONAL LIMITED
(NTI)","B
Purchase","Thomas Duthy

Director","340,000

0.09


AUD 20,249","340,000",0.09,"AUD 30,820",
2024-01-30,2024-01-29,"NEUROTECH INTERNATIONAL LIMITED
(NTI)","B
Purchase","Thomas Duthy

Director","340,000

0.09


AUD 20,249","340,000",0.09,"AUD 30,820",
2024-01-30,2024-01-29,"LUNNON METALS LIMITED
(LM8)","B
Purchase","Ashley McDonald

Director","167,000

0.30


AUD 32,916","167,000",0.30,"AUD 50,100",
2024-01-30,2024-01-29,"HEAVY MINERALS LIMITED
(HVY)","B
Purchase","Aaron Williams

Director","10,000

0.10


AUD 657","10,000",0.10,"AUD 1,000",
2024-01-30,2024-01-29,"FLAGSHIP INVESTMENTS LIMITED
(FSI)","B
Purchase","Emmanuel Clive Pohl

Director","85,000

1.81


AUD 100,800","85,000",1.81,"AUD 153,425",
2024-01-30,2024-01-29,"Australian Foundation Investment Company Ltd
(AFI)","B
Purchase","Mr Richard Murray

Director","7,000

7.47


AUD 34,373","7,000",7.47,"AUD 52,318",
2024-01-30,2024-01-29,"ATTURRA LIMITED
(ATA)","B
Purchase","Shan Shamsher Kanji

Director","10,752,003

0.80


AUD 5,651,253","10,752,003",0.80,"AUD 8,601,602",
2024-01-29,2024-01-29,"OMNI BRIDGEWAY LIMITED
(OBL)","B
Purchase","Raymond van Hulst

Director","505,642

3.41


AUD 1,132,825","505,642",3.41,"AUD 1,724,239",
2024-01-31,2024-01-25,"TORO ENERGY LIMITED
(TOE)","B
Purchase","Michel Marier

Director","90,434

0.45


AUD 27,012","90,434",0.45,"AUD 41,089",
2024-01-31,2024-01-25,"SENSORE LTD.
(S3N)","B
Purchase","ROBERT WILLIAM PECK

Director","500,000

0.05


AUD 16,435","500,000",0.05,"AUD 25,000",
2024-01-31,2024-01-25,"SENSORE LTD.
(S3N)","B
Purchase","RICHARD JAMES TAYLOR

Director","250,000

0.05


AUD 8,218","250,000",0.05,"AUD 12,500",
2024-01-31,2024-01-25,"SENSORE LTD.
(S3N)","B
Purchase","ADRIAN PHILLIP MANGER

Director","1,600,000

0.05


AUD 52,592","1,600,000",0.05,"AUD 80,000",
2024-01-30,2024-01-25,"Schrole Group Ltd
(SCL)","B
Purchase","Mr Guy Perkins

Director","50,000

0.20


AUD 6,574","50,000",0.20,"AUD 10,000",
2024-01-30,2024-01-25,"LUNNON METALS LIMITED
(LM8)","B
Purchase","Deborah Lord

Director","32,200

0.62


AUD 13,130","32,200",0.62,"AUD 19,972",
2024-01-30,2024-01-25,"360 Capital REIT
(TOT)","PP
Planned purchase","Andrew Moffat

Director","15,825

0.54


AUD 5,621","15,825",0.54,"AUD 8,550",
2024-01-29,2024-01-25,"KULA GOLD LIMITED
(KGD)","B
Purchase","MARK BOJANJAC

Director","500,000

0.01


AUD 4,273","500,000",0.01,"AUD 6,500",
2024-01-29,2024-01-25,"KULA GOLD LIMITED
(KGD)","B
Purchase","RIC DAWSON

Director","5,350,209

0.00


AUD 2,991","5,350,209",0.00,"AUD 4,550",
2024-01-29,2024-01-25,"KULA GOLD LIMITED
(KGD)","B
Purchase","MARK STOWELL

Director","2,996,153

0.01


AUD 25,606","2,996,153",0.01,"AUD 38,950",
2024-01-25,2024-01-25,"SPACETALK LTD
(SPA)","B
Purchase","Georg Johann Chmiel

Director","4,545,454

0.02


AUD 65,740","4,545,454",0.02,"AUD 100,000",
2024-01-25,2024-01-25,"GENETIC SIGNATURES LIMITED
(GSS)","B
Purchase","Dr Nickolaos (Nick) Samaras

Director","304,366

0.37


AUD 74,033","304,366",0.37,"AUD 112,615",
2024-01-25,2024-01-25,"GENETIC SIGNATURES LIMITED
(GSS)","B
Purchase","Dr John Melki

Director","164,813

0.37


AUD 40,089","164,813",0.37,"AUD 60,981",
2024-01-25,2024-01-25,"GENETIC SIGNATURES LIMITED
(GSS)","B
Purchase","Dr Anthony Radford

Director","36,091

0.37


AUD 8,779","36,091",0.37,"AUD 13,354",
2024-01-25,2024-01-25,"GENETIC SIGNATURES LIMITED
(GSS)","B
Purchase","Ms Caroline Waldron

Director","2,512

0.37


AUD 611","2,512",0.37,AUD 929,
2024-01-25,2024-01-25,"ARAFURA RARE EARTHS LTD
(ARU)","PP
Planned purchase","Christopher Stephen Tonkin

Director","15,625

0.16


AUD 1,644","15,625",0.16,"AUD 2,500",
2024-01-25,2024-01-25,"ARAFURA RARE EARTHS LTD
(ARU)","PP
Planned purchase","Mark Southey

Director","187,500

0.16


AUD 19,722","187,500",0.16,"AUD 30,000",
2024-01-25,2024-01-25,"Advance ZincTek Ltd
(ANO)","B
Purchase","LEV MIZIKOVSKY

Director","807

1.05


AUD 557",807,1.05,AUD 847,
2024-01-25,2024-01-25,"360 Capital REIT
(TOT)","PP
Planned purchase","Tony Robert Pitt

Director","1,199,947

0.54


AUD 426,213","1,199,947",0.54,"AUD 648,331",
2024-01-25,2024-01-25,"360 Capital REIT
(TOT)","PP
Planned purchase","David van Aanholt

Director","2,170

0.54


AUD 771","2,170",0.54,"AUD 1,172",
2024-01-29,2024-01-24,"TURACO GOLD LIMITED
(TCG)","B
Purchase","BRUCE MOWAT

Director","111,111

0.09


AUD 6,579","111,111",0.09,"AUD 10,000",
2024-01-29,2024-01-24,"TURACO GOLD LIMITED
(TCG)","B
Purchase","ALAN CAMPBELL

Director","222,222

0.09


AUD 13,158","222,222",0.09,"AUD 20,000",
2024-01-29,2024-01-24,"TURACO GOLD LIMITED
(TCG)","B
Purchase","JOHN FITZGERALD

Director","555,556

0.09


AUD 32,895","555,556",0.09,"AUD 50,000",
2024-01-29,2024-01-24,"Laramide Resources Ltd
(LAM)","S
Sale","Marc Henderson

Director","30,000

0.79


AUD 15,592","30,000",0.79,"AUD 23,700",
2024-01-29,2024-01-24,"Critical Resources Ltd
(CRR)","B
Purchase","Alex Cheeseman

Director","655,000

0.01


AUD 6,135","655,000",0.01,"AUD 9,325",
2024-01-24,2024-01-24,"Advance ZincTek Ltd
(ANO)","B
Purchase","LEV MIZIKOVSKY

Director","25,526

1.05


AUD 17,633","25,526",1.05,"AUD 26,802",
2024-01-29,2024-01-23,"POLYMETALS RESOURCES LTD
(POL)","B
Purchase","Jess Oram

Director","13,000

0.29


AUD 2,446","13,000",0.29,"AUD 3,723",
2024-01-25,2024-01-23,"PROTEOMICS INTERNATIONAL LABORATORIES LTD
(PIQ)","S
Sale","Richard Lipscombe

Director","2,631,579

0.76


AUD 1,314,000","2,631,579",0.76,"AUD 2,000,001",
2024-01-24,2024-01-23,"WINSOME RESOURCES LIMITED
(WR1)","B
Purchase","Christopher Allan Evans

Director","33,333

0.60


AUD 13,085","33,333",0.60,"AUD 19,916",
2024-01-24,2024-01-23,"Euro Manganese Inc
(EMN)","B
Purchase","Matthew Peter James

Director","121,962

0.09


AUD 7,136","121,962",0.09,"AUD 10,861",
2024-01-24,2024-01-23,"4DMedical Ltd
(4DX)","B
Purchase","Ms Lilian Bianchi

Director","40,000

0.79


AUD 20,761","40,000",0.79,"AUD 31,600",
2024-01-24,2024-01-23,"4DMedical Ltd
(4DX)","B
Purchase","Dr Geraldine Bernadette McGinty

Director","40,000

0.79


AUD 20,761","40,000",0.79,"AUD 31,600",
2024-01-23,2024-01-23,"Carbonxt Group Ltd
(CG1)","B
Purchase","Matthew Driscoll

Director","231,543

0.06


AUD 9,127","231,543",0.06,"AUD 13,893",
2024-01-23,2024-01-23,"Carbonxt Group Ltd
(CG1)","B
Purchase","Warren Murphy

Director","152,804

0.06


AUD 6,024","152,804",0.06,"AUD 9,168",
2024-01-23,2024-01-23,"Advance ZincTek Ltd
(ANO)","B
Purchase","LEV MIZIKOVSKY

Director","15,622

1.05


AUD 10,777","15,622",1.05,"AUD 16,403",
2024-01-29,2024-01-22,"YOJEE LIMITED
(YOJ)","B
Purchase","David Morton

Director","1,002,062

0.00


AUD 1,320","1,002,062",0.00,"AUD 2,004",
2024-01-23,2024-01-22,"PACT GROUP HOLDINGS LTD
(PGH)","B
Purchase","Raphael Geminder

Director","771,877

0.84


AUD 427,021","771,877",0.84,"AUD 648,377",
2024-01-22,2024-01-22,"WHITEHAWK LIMITED
(WHK)","B
Purchase","Brian Hibbeln

Director","200,000

0.02


AUD 2,898","200,000",0.02,"AUD 4,400",
2024-01-22,2024-01-22,"WHITEHAWK LIMITED
(WHK)","B
Purchase","Melissa King

Director","200,000

0.02


AUD 2,898","200,000",0.02,"AUD 4,400",
2024-01-22,2024-01-22,"HitiQ Ltd
(HIQ)","B
Purchase","MATTHEW CLAYWORTH

Director","34,090,910

0.02


AUD 493,950","34,090,910",0.02,"AUD 750,000",
2024-01-22,2024-01-22,"Advance ZincTek Ltd
(ANO)","B
Purchase","LEV MIZIKOVSKY

Director","87,958

1.05


AUD 60,826","87,958",1.05,"AUD 92,356",
2024-01-29,2024-01-19,"ECOGRAF LIMITED
(EGR)","B
Purchase","Andrew Spinks

Director","2,139,885

0.21


AUD 299,322","2,139,885",0.21,"AUD 455,520",
2024-01-24,2024-01-19,"SACGASCO LIMITED
(SGC)","B
Purchase","Andrew Childs

Director","625,000

0.01


AUD 3,286","625,000",0.01,"AUD 5,000",
2024-01-24,2024-01-19,"SACGASCO LIMITED
(SGC)","B
Purchase","Gary Jeffery

Director","562,500

0.01


AUD 2,957","562,500",0.01,"AUD 4,500",
2024-01-24,2024-01-19,"SACGASCO LIMITED
(SGC)","B
Purchase","William Ashby

Director","506,756

0.01


AUD 2,664","506,756",0.01,"AUD 4,054",
2024-01-23,2024-01-19,"ORION METALS LIMITED
(ORM)","B
Purchase","Yi Yang

Director","59,782,609

0.00


AUD 33,003","59,782,609",0.00,"AUD 50,225",
2024-01-23,2024-01-19,"ORION METALS LIMITED
(ORM)","B
Purchase","Feng Wu

Director","59,782,609

0.00


AUD 33,003","59,782,609",0.00,"AUD 50,225",
2024-01-23,2024-01-19,"ORION METALS LIMITED
(ORM)","B
Purchase","Yu Zhou

Director","10,869,565

0.00


AUD 32,855","10,869,565",0.00,"AUD 50,000",
2024-01-23,2024-01-19,"ORION METALS LIMITED
(ORM)","B
Purchase","Bin Cai

Director","5,434,783

0.00


AUD 16,428","5,434,783",0.00,"AUD 25,000",
2024-01-22,2024-01-19,"SENSORE LTD.
(S3N)","B
Purchase","Robert William Peck

Director","67,046

0.09


AUD 3,965","67,046",0.09,"AUD 6,034",
2024-01-22,2024-01-19,"SELECT HARVESTS LIMITED
(SHV)","B
Purchase","David Surveyor

Director","2,000

5.83


AUD 7,658","2,000",5.83,"AUD 11,654",
2024-01-22,2024-01-19,"Charter Hall Social Infrastructure REIT
(CQE)","B
Purchase","Katrina Mary Melrose

Director","485

2.87


AUD 915",485,2.87,"AUD 1,392",
2024-01-22,2024-01-19,"Charter Hall Social Infrastructure REIT
(CQE)","B
Purchase","David William Harrison (Alternate Director)

Director","437

2.87


AUD 824",437,2.87,"AUD 1,254",
2024-01-19,2024-01-19,"Advance ZincTek Ltd
(ANO)","B
Purchase","LEV MIZIKOVSKY

Director","312,825

1.05


AUD 215,835","312,825",1.05,"AUD 328,466",
2024-01-24,2024-01-18,"ENERGY RESOURCES OF AUSTRALIA LIMITED
(ERA)","PP
Planned purchase","Rosemary Fagen

Director","17

14.86


AUD 166",17,14.86,AUD 253,
2024-01-24,2024-01-18,"ENERGY RESOURCES OF AUSTRALIA LIMITED
(ERA)","B
Purchase","Justin Carey

Director","23

10.99


AUD 166",23,10.99,AUD 253,
2024-01-24,2024-01-18,"ENERGY RESOURCES OF AUSTRALIA LIMITED
(ERA)","B
Purchase","Brad Welsh

Director","39

6.48


AUD 166",39,6.48,AUD 253,
2024-01-24,2024-01-18,"ENERGY RESOURCES OF AUSTRALIA LIMITED
(ERA)","B
Purchase","Alfred Grigg

Director","17

14.86


AUD 166",17,14.86,AUD 253,
2024-01-23,2024-01-18,"WOTSO PROPERTY
(WOT)","B
Purchase","JR (Seph) Glew

Director","25,000

1.17


AUD 19,230","25,000",1.17,"AUD 29,350",
