Notification date,Transaction date,Company,"B/S
Transaction type",Insider and/or position,"Nb. shares
Price
Value",Number of shares,Price,Value,Details
2024-07-24,2024-07-24,"Zodiac Gold Inc
(ZAU)","B
Purchase","Kol, David Stephen

10% Security Holder of Issuer, Director of Issuer, Senior Officer of Issuer
Executive Director
Large shareholder","500
+0.8%

0.11


CAD 38","500
+0.8%",0.11,CAD 53,
2024-07-24,2024-07-24,"Tisdale Clean Energy Corp
(TCEC)","B
Purchase","Klenman, Alexander

Director of Issuer, Senior Officer of Issuer
Executive Director","25,000
+1.8%

0.09


CAD 1,551","25,000
+1.8%",0.09,"CAD 2,125",
2024-07-24,2024-07-24,"Tisdale Clean Energy Corp
(TCEC)","B
Purchase","Klenman, Alexander

Director of Issuer, Senior Officer of Issuer
Executive Director","25,000
+1.8%

0.08


CAD 1,460","25,000
+1.8%",0.08,"CAD 2,000",
2024-07-24,2024-07-24,"Teako Minerals Corp
(TMIN)","B
Purchase","Gollan, Sven

Senior Officer of Issuer
Officer","40,000
+1.4%

0.07


CAD 1,897","40,000
+1.4%",0.07,"CAD 2,600",
2024-07-24,2024-07-24,"Sorrento Resources Ltd
(SRS)","B
Purchase","Sutton, Brayden Robert

Senior Officer of Issuer
Officer","25,000
+50.0%

0.25


CAD 4,561","25,000
+50.0%",0.25,"CAD 6,250",
2024-07-24,2024-07-24,"Slam Exploration Ltd
(SXL)","B
Purchase","Macdonald, Bruce

10% Security Holder of Issuer
Large shareholder","110,000
+1.1%

0.04


CAD 2,810","110,000
+1.1%",0.04,"CAD 3,850",
2024-07-24,2024-07-24,Sailfish Royalty Corp.,"B
Purchase","Leisman, Akiba Jacob Issachar

Senior Officer of Issuer
Officer","80,000
+3.4%

1.23


CAD 71,929","80,000
+3.4%",1.23,"CAD 98,560",
2024-07-24,2024-07-24,"Red Lake Gold Inc
(RGLD)","B
Purchase","Kalt, Ryan

10% Security Holder of Issuer, Director of Issuer, Senior Officer of Issuer
Executive Director
Large shareholder","5,000
+0.0%

0.10


CAD 365","5,000
+0.0%",0.10,CAD 500,
2024-07-24,2024-07-24,"Radio Fuels Energy Corp
(CAKE)","B
Purchase","Campbell, Jack

Director of Issuer
Non-Executive Director","20,000
+11.0%

0.09


USD 1,800","20,000
+11.0%",0.09,"USD 1,800",
2024-07-24,2024-07-24,"Pyrogenesis Canada Inc
(PYR)","PS
Planned sale","Pascali, Photis Peter

10% Security Holder of Issuer, Director of Issuer, Senior Officer of Issuer
Executive Director
Large shareholder","16,400
-1.2%

0.86


CAD 10,341","16,400
-1.2%",0.86,"CAD 14,170",
2024-07-24,2024-07-24,PTX Metals Inc.,"B
Purchase","Moore, Jean-David

Director of Issuer
Non-Executive Director","100,000
+0.7%

0.03


CAD 1,825","100,000
+0.7%",0.03,"CAD 2,500",
2024-07-24,2024-07-24,"Prospect Ridge Resources Corp
(PRR)","B
Purchase","Lau, Jasmine Wai Chee

Senior Officer of Issuer
Officer","27,777

0.18


CAD 3,649","27,777",0.18,"CAD 5,000",
2024-07-24,2024-07-24,Premier American Uranium Inc.,"B
Purchase","Rotolo, Timothy James

10% Security Holder of Issuer, Director of Issuer, Director or Senior Officer of 10% Security Holder, Senior Officer of Issuer
Executive Director
Large shareholder","25,000
+1.3%

1.64


CAD 29,944","25,000
+1.3%",1.64,"CAD 41,030",
2024-07-24,2024-07-24,"NXT Energy Solutions Inc
(SFD)","B
Purchase","Wilcox, Bruce G.

Director of Issuer, Senior Officer of Issuer
Executive Director","4,000
+0.5%

0.17


USD 680","4,000
+0.5%",0.17,USD 680,
2024-07-24,2024-07-24,"Labrador Gold Corp
(LAB)","B
Purchase","Moss, Roger

Director of Issuer, Senior Officer of Issuer
Executive Director","30,000
+6.6%

0.10


CAD 2,080","30,000
+6.6%",0.10,"CAD 2,850",
2024-07-24,2024-07-24,"Happy Creek Minerals Ltd
(HPY)","B
Purchase","Triggs, Patrick

10% Security Holder of Issuer
Large shareholder","10,000
+0.0%

0.06


CAD 401","10,000
+0.0%",0.06,CAD 550,
2024-07-24,2024-07-24,"Green River Gold Corp
(CCR)","B
Purchase","Brekkas, Arthur Craig

Director of Issuer
Non-Executive Director","75,000
+2.2%

0.04


CAD 1,916","75,000
+2.2%",0.04,"CAD 2,625",
2024-07-24,2024-07-24,"Golden Spike Resources Corp
(GLDS)","B
Purchase","Naughty, Blair Lawrence

10% Security Holder of Issuer
Large shareholder","30,000
+1.1%

0.19


CAD 4,160","30,000
+1.1%",0.19,"CAD 5,700",
2024-07-24,2024-07-24,"Gold Digger Resources Inc
(GDIG)","B
Purchase","Naughty, Blair Lawrence

10% Security Holder of Issuer
Large shareholder","8,000
+0.8%

0.30


CAD 1,752","8,000
+0.8%",0.30,"CAD 2,400",
2024-07-24,2024-07-24,"Fremont Gold Ltd
(FRE)","B
Purchase","Libenson, Jason

Director of Issuer
Non-Executive Director","100,000

0.10


CAD 7,298","100,000",0.10,"CAD 10,000",
2024-07-24,2024-07-24,"Blumetric Environmental Inc
(BLM)","S
Sale","Woeller, Roger Michael

10% Security Holder of Issuer
Large shareholder","500,000
-14.6%

0.52


CAD 189,748","500,000
-14.6%",0.52,"CAD 260,000",
2024-07-24,2024-07-24,"Aldebaran Resources Inc
(ALDE)","B
Purchase","Wayne, Mark

Director of Issuer, Senior Officer of Issuer
Executive Director","10,000
+0.4%

0.90


CAD 6,568","10,000
+0.4%",0.90,"CAD 9,000",
2024-07-24,2024-07-24,"Aldebaran Resources Inc
(ALDE)","B
Purchase","Heather, Kevin Bruce

Director of Issuer, Senior Officer of Issuer
Executive Director","9,500
+0.3%

0.90


CAD 6,240","9,500
+0.3%",0.90,"CAD 8,550",
2024-07-24,2024-07-23,"Zodiac Gold Inc
(ZAU)","B
Purchase","Kol, David Stephen

10% Security Holder of Issuer, Director of Issuer, Senior Officer of Issuer
Executive Director
Large shareholder","1,000
+1.6%

0.10


CAD 73","1,000
+1.6%",0.10,CAD 100,
2024-07-24,2024-07-23,"Western Metallica Resources Corp
(WMS)","B
Purchase","Duras, Greg

Director of Issuer, Senior Officer of Issuer
Executive Director","100,000
+0.8%

0.04


CAD 2,919","100,000
+0.8%",0.04,"CAD 4,000",
2024-07-24,2024-07-23,"VEXT Science, Inc.","B
Purchase","Phanos, Spiro Alexander

Director of Issuer
Non-Executive Director","54,000
+240.0%

0.25


CAD 9,655","54,000
+240.0%",0.25,"CAD 13,230",
2024-07-24,2024-07-23,"Tincorp Metals Inc
(TIN)","B
Purchase","Feng, Rui

Director of Issuer
Non-Executive Director","135,000
+3.2%

0.25


CAD 24,631","135,000
+3.2%",0.25,"CAD 33,750",
2024-07-24,2024-07-23,"Shopify Inc
(SHOP)","PS
Planned sale","Finkelstein, Harley Michael

Senior Officer of Issuer
Officer","500
-1.5%

62.97


USD 31,485","500
-1.5%",62.97,"USD 31,485",
2024-07-24,2024-07-23,"Shopify Inc
(SHOP)","PS
Planned sale","Finkelstein, Harley Michael

Senior Officer of Issuer
Officer","500
-1.4%

62.97


USD 31,485","500
-1.4%",62.97,"USD 31,485",
2024-07-24,2024-07-23,"Shopify Inc
(SHOP)","PS
Planned sale","Finkelstein, Harley Michael

Senior Officer of Issuer
Officer","250
-0.7%

62.97


USD 15,742","250
-0.7%",62.97,"USD 15,742",
2024-07-24,2024-07-23,"Shopify Inc
(SHOP)","PS
Planned sale","Finkelstein, Harley Michael

Senior Officer of Issuer
Officer","200
-0.6%

62.97


USD 12,594","200
-0.6%",62.97,"USD 12,594",
