Notification date,Transaction date,Company,"B/S
Transaction type",Insider and/or position,"Nb. shares
Price
Value",Number of shares,Price,Value,Details
2024-07-25,2024-07-24,"Poujoulat SA
(ALPJT)","B
Purchase","SOPREG

PRESIDENT
Through Frédéric Coirier, a closely affiliated person
Director","500

10.90


EUR 5,836",500,10.90,"EUR 5,450",
2024-07-25,2024-07-24,"Cegedim SA
(CGM)","B
Purchase","FCB SAS

Administrateur
Director","288

12.99


EUR 4,006",288,12.99,"EUR 3,741",
2024-07-25,2024-07-24,"Pierre et Vacances SA
(VAC)","B
Purchase","Fidera Limited

Director on the Board
Director","33,084

1.36


EUR 48,322","33,084",1.36,"EUR 45,127",
2024-07-25,2024-07-23,"Sidetrade SA
(ALBFR)","B
Purchase","olivier novasque

PRESIDENT
Director","2

185.50


EUR 397",2,185.50,EUR 371,
2024-07-25,2024-07-23,"Ikonisys SA
(ALIKO)","S
Sale","MARIO MAURI

CHAIRMAN OF THE BOARD OFDIRECTORS OF IKONISYS S.A. AS WELL AS THE CHAIRMAN AND MAJORITY SHAREHOLDER OF CAMBRIA LTD (BEINGTHE MANAGEMENT COMPANY OF CAMBRIA EQUITY PARTNERS LP)
Through CAMBRIA EQUITY PARTNERS LP PARTNERSHIP, a closely affiliated person
Director","100,000

1.50


EUR 160,620","100,000",1.50,"EUR 150,000",
2024-07-24,2024-07-23,"Cegedim SA
(CGM)","B
Purchase","FCB SAS

Administrateur
Director","561

13.02


EUR 7,823",561,13.02,"EUR 7,306",
2024-07-24,2024-07-23,"Cybergun SA
(ALCYB)","S
Sale","s sinterposées) de CYBERGUN

Through IQ EQ MANAGEMENT société par actions simplifiée, a closely affiliated person","48,000,000

0.00


EUR 5,140","48,000,000",0.00,"EUR 4,800",
2024-07-24,2024-07-23,"Poujoulat SA
(ALPJT)","B
Purchase","SOPREG

PRESIDENT
Through Frédéric Coirier, a closely affiliated person
Director","500

10.75


EUR 5,756",500,10.75,"EUR 5,375",
2024-07-25,2024-07-22,"Sidetrade SA
(ALBFR)","B
Purchase","olivier novasque

PRESIDENT
Director","62

186.13


EUR 12,357",62,186.13,"EUR 11,540",
2024-07-25,2024-07-22,"Frey SA
(FREY)","B
Purchase","FIRMAMENT PARTICIPATIONS Société en commandite par actions

Administrateur
Director","50

28.40


EUR 1,521",50,28.40,"EUR 1,420",
2024-07-25,2024-07-22,"Frey SA
(FREY)","B
Purchase","FIRMAMENT PARTICIPATIONS Société en commandite par actions

Administrateur
Director","50

28.20


EUR 1,510",50,28.20,"EUR 1,410",
2024-07-24,2024-07-22,"Vivendi SE
(VIV)","B
Purchase","Frédéric CREPIN

Membre du Directoire
Management Board Member","3,130

12.82


EUR 42,976","3,130",12.82,"EUR 40,135",
2024-07-24,2024-07-22,"Vivendi SE
(VIV)","B
Purchase","Yannick BOLLORE

Président du Conseil de surveillance
Supervisory Board Member","9,125

12.82


EUR 125,296","9,125",12.82,"EUR 117,011",
2024-07-24,2024-07-22,"Vivendi SE
(VIV)","B
Purchase","Claire LEOST

Membre du Directoire
Management Board Member","10,187

12.82


EUR 139,883","10,187",12.82,"EUR 130,634",
2024-07-24,2024-07-22,"Vivendi SE
(VIV)","B
Purchase","Céline Merle-Béral

Membre du Directoire
Management Board Member","3,130

12.82


EUR 42,980","3,130",12.82,"EUR 40,138",
2024-07-24,2024-07-22,"Vivendi SE
(VIV)","B
Purchase","François Laroze

Membre du Directoire
Management Board Member","8,076

12.82


EUR 110,896","8,076",12.82,"EUR 103,564",
2024-07-24,2024-07-22,"Vivendi SE
(VIV)","B
Purchase","Arnaud de PUYFONTAINE

Président du Directoire
Management Board Member","9,068

12.82


EUR 124,521","9,068",12.82,"EUR 116,288",
2024-07-23,2024-07-22,"Cegedim SA
(CGM)","B
Purchase","FCB SAS

Administrateur
Director","10,882

13.00


EUR 151,524","10,882",13.00,"EUR 141,505",
2024-07-23,2024-07-22,"Cybergun SA
(ALCYB)","S
Sale","s sinterposées) de CYBERGUN

Through IQ EQ MANAGEMENT société par actions simplifiée, a closely affiliated person","20,000,000

0.00


EUR 2,142","20,000,000",0.00,"EUR 2,000",
2024-07-23,2024-07-22,"Poujoulat SA
(ALPJT)","B
Purchase","SOPREG

PRESIDENT
Through Frédéric Coirier, a closely affiliated person
Director","500

10.85


EUR 5,809",500,10.85,"EUR 5,425",
2024-07-23,2024-07-22,"Les Constructeurs du Bois SA
(MLLCB)","B
Purchase","François DUCHAINE

Président
Through CFD CAPITAL SARL, a closely affiliated person
Director","5

3.52


EUR 19",5,3.52,EUR 18,
2024-07-25,2024-07-19,"Axway Software SA
(AXW)","B
Purchase","Pierre PASQUIER

Président du Conseild'administration d'AXWAY SOFTWARE et président directeur général de SOPRA GMT
Through Sopra GMT Société anonyme à conseil d'administration, a closely affiliated person
Executive Director","3,619,423

26.50


EUR 102,705,471","3,619,423",26.50,"EUR 95,914,710",
2024-07-24,2024-07-19,"Axway Software SA
(AXW)","S
Sale","PIERRE PASQUIER

Président duconseil d'administration d'AXWAY SOFTWARE et président du conseil d'administration de SOPRA STERIA GROUP
Through SOPRA STERIA GROUP Société anonyme à conseil d'administration, a closely affiliated person
Director","3,619,423

26.50


EUR 102,705,471","3,619,423",26.50,"EUR 95,914,710",
2024-07-24,2024-07-19,Touax Corporate SASU,"B
Purchase","FABRICE COLONNAWALEWSKI

GERANT
Through SOCIETE HOLDING DE GESTION ET DE PARTICIPATION Société Anonyme, a closely affiliated person","300

4.60


EUR 1,478",300,4.60,"EUR 1,380",
2024-07-24,2024-07-19,Touax Corporate SASU,"B
Purchase","FABRICE COLONNAWALEWSKI

GERANT
Through SOCIETE HOLDING DE GESTION ET DE PARTICIPATION Société Anonyme, a closely affiliated person","2,000

4.50


EUR 9,637","2,000",4.50,"EUR 9,000",
2024-07-23,2024-07-19,"Cybergun SA
(ALCYB)","S
Sale","s sinterposées) de CYBERGUN

Through IQ EQ MANAGEMENT société par actions simplifiée, a closely affiliated person","8,000,000

0.00


EUR 857","8,000,000",0.00,EUR 800,
2024-07-23,2024-07-19,"Tikehau Capital SCA
(TKO)","B
Purchase","Antoine FLAMARION

Président de AF&CoManagement, elle-même Gérant de Tikehau Capital
Through TIKEHAU CAPITAL ADVISORS Société par actions simplifiée, a closely affiliated person
Executive Director","7,150

23.84


EUR 182,524","7,150",23.84,"EUR 170,456",
2024-07-23,2024-07-19,"Tikehau Capital SCA
(TKO)","B
Purchase","Antoine FLAMARION

Président de AF&CoManagement, elle-même Gérant de Tikehau Capital
Through TIKEHAU CAPITAL ADVISORS Société par actions simplifiée, a closely affiliated person
Executive Director","444

23.15


EUR 11,006",444,23.15,"EUR 10,279",
2024-07-22,2024-07-19,"Lagardere SCA
(MMB)","B
Purchase","Arnaud de Puyfontaine

Administrateurde Lagardère SA
Through VIVENDI Société européenne à Directoire et Conseil de surveillance, a closely affiliated person
Management Board Member","395

24.10


EUR 10,193",395,24.10,"EUR 9,520",
2024-07-22,2024-07-19,"Cegedim SA
(CGM)","B
Purchase","FCB SAS

Administrateur
Director","286

13.10


EUR 4,011",286,13.10,"EUR 3,745",
2024-07-22,2024-07-19,"Frey SA
(FREY)","B
Purchase","FIRMAMENT PARTICIPATIONS Société en commandite par actions

Administrateur
Director","50

28.40


EUR 1,521",50,28.40,"EUR 1,420",
2024-07-22,2024-07-19,Touax Corporate SASU,"B
Purchase","RAPHAEL COLONNAWALEWSKI

GERANT
Through SOCIETE HOLDING DE GESTION ET DE LOCATION SOCIETE ANONYME, a closely affiliated person","2,000

4.50


EUR 9,637","2,000",4.50,"EUR 9,000",
2024-07-23,2024-07-18,"Haulotte Group SA
(PIG)","B
Purchase","ALEXANDRE SAUBOT

DIRECTEUR GENERAL DELEGUE
Through SOLEM SAS, a closely affiliated person
Officer","15

2.97


EUR 48",15,2.97,EUR 44,
2024-07-22,2024-07-18,"Cybergun SA
(ALCYB)","S
Sale","s sinterposées) de CYBERGUN

Through IQ EQ MANAGEMENT société par actions simplifiée, a closely affiliated person","16,227,614

0.00


EUR 1,738","16,227,614",0.00,"EUR 1,623",
2024-07-22,2024-07-18,Touax Corporate SASU,"B
Purchase","FABRICE COLONNAWALEWSKI

GERANT
Through SOCIETE HOLDING DE GESTION ET DE PARTICIPATION SOCIETE ANONYME, a closely affiliated person","1,500

4.53


EUR 7,276","1,500",4.53,"EUR 6,795",
2024-07-22,2024-07-18,"Amoeba SA
(AMEBA)","B
Purchase","Benoit Villers

PCA
Through NICE AND GREEN, a closely affiliated person","13,437

0.46


EUR 6,604","13,437",0.46,"EUR 6,168",
2024-07-22,2024-07-18,Touax Corporate SASU,"B
Purchase","RAPHAEL COLONNAWALEWSKI

GERANT
Through SOCIETE HOLDING DE GESTION ET DE LOCATION SOCIETE ANONYME, a closely affiliated person","1,500

4.53


EUR 7,276","1,500",4.53,"EUR 6,795",
2024-07-22,2024-07-18,"Poujoulat SA
(ALPJT)","B
Purchase","SOPREG

PRESIDENT
Through Frédéric Coirier, a closely affiliated person
Director","507

10.40


EUR 5,645",507,10.40,"EUR 5,272",
2024-07-19,2024-07-18,"Cegedim SA
(CGM)","B
Purchase","FCB SAS

Administrateur
Director","519

12.85


EUR 7,139",519,12.85,"EUR 6,667",
2024-07-19,2024-07-18,"Les Constructeurs du Bois SA
(MLLCB)","S
Sale","François DUCHAINE

Président
Through CFD CAPITAL SARL, a closely affiliated person
Director","1

3.68


EUR 4",1,3.68,EUR 4,
2024-07-23,2024-07-17,"Haulotte Group SA
(PIG)","B
Purchase","ALEXANDRE SAUBOT

DIRECTEUR GENERAL DELEGUE
Through SOLEM SAS, a closely affiliated person
Officer","2,206

2.96


EUR 6,983","2,206",2.96,"EUR 6,522",
2024-07-22,2024-07-17,"Cybergun SA
(ALCYB)","S
Sale","s sinterposées) de CYBERGUN

Through IQ EQ MANAGEMENT société par actions simplifiée, a closely affiliated person","114,000,000

0.00


EUR 12,207","114,000,000",0.00,"EUR 11,400",
2024-07-22,2024-07-17,Touax Corporate SASU,"B
Purchase","FABRICE COLONNAWALEWSKI

GER
Through SOCIETE HOLDING DE GESTION ET DE PARTICIPATION SOCIETE ANONYME, a closely affiliated person","1,500

4.53


EUR 7,276","1,500",4.53,"EUR 6,795",
2024-07-19,2024-07-17,Touax Corporate SASU,"B
Purchase","RAPHAEL COLONNAWALEWSKI

GERANT
Through SOCIETE HOLDING DE GESTION ET DE LOCATION SOCIETE ANONYME, a closely affiliated person","1,500

4.53


EUR 7,276","1,500",4.53,"EUR 6,795",
2024-07-19,2024-07-17,"Frey SA
(FREY)","B
Purchase","FIRMAMENT PARTICIPATIONS Société en commandite par actions

Administrateur
Director","50

28.00


EUR 1,499",50,28.00,"EUR 1,400",
2024-07-19,2024-07-17,"Frey SA
(FREY)","B
Purchase","FIRMAMENT PARTICIPATIONS Société en commandite par actions

Administrateur
Director","50

28.00


EUR 1,499",50,28.00,"EUR 1,400",
2024-07-19,2024-07-17,"Remy Cointreau SA
(RCO)","B
Purchase","ORPAR SA SOCIETE ANONYME

Membre du Conseil d'administration
Director","163

75.00


EUR 13,091",163,75.00,"EUR 12,225",
2024-07-18,2024-07-17,"Cegedim SA
(CGM)","B
Purchase","FCB SAS

Administrateur
Director","483

12.91


EUR 6,679",483,12.91,"EUR 6,237",
2024-07-18,2024-07-17,"Groupe Partouche SA
(PARP)","S
Sale","Isidore PARTOUCHE

Directrice Financière
Officer","67,846

19.15


EUR 1,391,238","67,846",19.15,"EUR 1,299,251",
2024-07-18,2024-07-17,"Groupe Partouche SA
(PARP)","B
Purchase","ISPAR HOLDING S.A. S.A.

Administrateur
Director","67,846

19.15


EUR 1,391,238","67,846",19.15,"EUR 1,299,251",
2024-07-18,2024-07-17,"Amoeba SA
(AMEBA)","B
Purchase","Benoit Villers

PCA
Through NICE AND GREEN, a closely affiliated person","200

0.46


EUR 99",200,0.46,EUR 93,
2024-07-19,2024-07-16,Touax Corporate SASU,"B
Purchase","RAPHAEL COLONNAWALEWSKI

GERANT
Through SOCIETE HOLDING DE GESTION ET DE LOCATION SOCIETE ANONYME, a closely affiliated person","1,500

4.53


EUR 7,276","1,500",4.53,"EUR 6,795",
2024-07-19,2024-07-16,"Tikehau Capital SCA
(TKO)","B
Purchase","Antoine FLAMARION

Président de AF&CoManagement, elle-même Gérant de Tikehau Capital
Through TIKEHAU CAPITAL ADVISORS Société par actions simplifiée, a closely affiliated person
Executive Director","622

23.19


EUR 15,445",622,23.19,"EUR 14,424",
2024-07-19,2024-07-16,"Tikehau Capital SCA
(TKO)","B
Purchase","Antoine FLAMARION

Président de AF&CoManagement, elle-même Gérant de Tikehau Capital
Through TIKEHAU CAPITAL ADVISORS Société par actions simplifiée, a closely affiliated person
Executive Director","883

23.29


EUR 22,021",883,23.29,"EUR 20,565",
2024-07-19,2024-07-16,"Tikehau Capital SCA
(TKO)","B
Purchase","Antoine FLAMARION

Président de AF&CoManagement, elle-même Gérant de Tikehau Capital
Through TIKEHAU CAPITAL ADVISORS Société par actions simplifiée, a closely affiliated person
Executive Director","4,418

23.29


EUR 110,184","4,418",23.29,"EUR 102,899",
2024-07-18,2024-07-16,"Elior Group SA
(ELIOR)","B
Purchase","Gilles Cojan

Membre du Conseil d'administration
Director","125,301

3.01


EUR 403,309","125,301",3.01,"EUR 376,642",
2024-07-18,2024-07-16,"Amoeba SA
(AMEBA)","B
Purchase","Benoit Villers

PCA
Through NICE AND GREEN, a closely affiliated person","3,565

0.45


EUR 1,735","3,565",0.45,"EUR 1,620",
2024-07-17,2024-07-16,"Poujoulat SA
(ALPJT)","B
Purchase","SOPREG

PRESIDENT
Through Frédéric Coirier, a closely affiliated person
Director","1,000

10.46


EUR 11,198","1,000",10.46,"EUR 10,458",
2024-07-17,2024-07-16,"Remy Cointreau SA
(RCO)","B
Purchase","ORPAR SA SOCIETE ANONYME

Membre du Conseil d'administration
Director","6,683

74.89


EUR 535,905","6,683",74.89,"EUR 500,471",
2024-07-17,2024-07-16,"Cybergun SA
(ALCYB)","S
Sale","s sinterposées) de CYBERGUN

Through IQ EQ MANAGEMENT société par actions simplifiée, a closely affiliated person","26,000,000

0.00


EUR 2,784","26,000,000",0.00,"EUR 2,600",
2024-07-17,2024-07-16,Touax Corporate SASU,"B
Purchase","FABRICE COLONNAWALEWSKI

GERANT
Through SOCIETE HOLDING DE GESTION ET DE PARTICIPATION SOCIETE ANONYME, a closely affiliated person","1,500

4.53


EUR 7,276","1,500",4.53,"EUR 6,795",
2024-07-17,2024-07-16,"Cegedim SA
(CGM)","B
Purchase","FCB SAS

Administrateur
Director","276

12.89


EUR 3,811",276,12.89,"EUR 3,559",
2024-07-19,2024-07-15,"Nacon SASU
(NACON)","B
Purchase","BPIFRANCE INVESTISSEMENT SAS

Membre","1,818,181

1.10


EUR 2,141,599","1,818,181",1.10,"EUR 1,999,999",
2024-07-18,2024-07-15,"Elior Group SA
(ELIOR)","B
Purchase","Gilles Cojan

Membre du Conseil d'administration
Director","174,699

3.04


EUR 569,004","174,699",3.04,"EUR 531,382",
2024-07-18,2024-07-15,"Amoeba SA
(AMEBA)","B
Purchase","Benoit Villers

PCA
Through NICE AND GREEN, a closely affiliated person","1,800

0.46


EUR 886","1,800",0.46,EUR 827,
2024-07-17,2024-07-15,"Cybergun SA
(ALCYB)","S
Sale","s sinterposées) de CYBERGUN

Through IQ EQ MANAGEMENT société par actions simplifiée, a closely affiliated person","14,116,233

0.00


EUR 1,512","14,116,233",0.00,"EUR 1,412",
2024-07-17,2024-07-15,"Frey SA
(FREY)","B
Purchase","FIRMAMENT PARTICIPATIONS Société en commandite par actions

Administrateur
Director","50

28.20


EUR 1,510",50,28.20,"EUR 1,410",
2024-07-17,2024-07-15,"Frey SA
(FREY)","B
Purchase","FIRMAMENT PARTICIPATIONS Société en commandite par actions

Administrateur
Director","50

28.20


EUR 1,510",50,28.20,"EUR 1,410",
2024-07-17,2024-07-15,Touax Corporate SASU,"B
Purchase","FABRI COLONNAWALEWSKI

GERANT
Through SOCIETE HOLDING DE GESTION ET DE PARTICIPATION SOCIETE ANONYME, a closely affiliated person","1,500

4.53


EUR 7,276","1,500",4.53,"EUR 6,795",
2024-07-16,2024-07-15,"Cegedim SA
(CGM)","B
Purchase","FCB SAS

Administrateur
Director","46

13.02


EUR 641",46,13.02,EUR 599,
2024-07-16,2024-07-15,"Remy Cointreau SA
(RCO)","B
Purchase","ORPAR SA SOCIETE ANONYME

Membre du Conseil d'administration
Director","5,294

74.94


EUR 424,809","5,294",74.94,"EUR 396,721",
2024-07-16,2024-07-15,"Les Constructeurs du Bois SA
(MLLCB)","B
Purchase","François DUCHAINE

Président
Through CFD CAPITAL SARL, a closely affiliated person
Director","44

3.52


EUR 166",44,3.52,EUR 155,
2024-07-17,2024-07-12,Touax Corporate SASU,"B
Purchase","RAPHAEL COLONNAWALEWSKI

GERANT
Through SOCIETE HOLDING DE GESTION ET DE LOCATION SOCIETE ANONYME, a closely affiliated person","1,500

4.55


EUR 7,308","1,500",4.55,"EUR 6,825",
