Notification date,Transaction date,Company,"B/S
Transaction type",Insider and/or position,"Nb. shares
Price
Value",Number of shares,Price,Value,Details
2024-07-26,2024-07-25,"LPKF Laser & Electronics AG
(LPK)","B
Purchase","Fiedler, Dr. Klaus

Management Board Member","1,000

8.00


EUR 21,408","1,000",8.00,"EUR 100,000",
2024-07-25,2024-07-25,"FCR Immobilien AG
(FC9)","B
Purchase","Through RAT Asset & Trading GmbH, a person closely affiliated to an insider","1,000

9.75


EUR 10,444","1,000",9.75,"EUR 9,754",
2024-07-25,2024-07-24,"Nanorepro AG
(NN6)","B
Purchase","Stiller, Dr. Olaf

Supervisory Board Member","1,763

1.86


EUR 3,511","1,763",1.86,"EUR 3,279",
2024-07-24,2024-07-24,"Nanorepro AG
(NN6)","B
Purchase","Jüngst, Lisa

Management Board Member","11,700

1.86


EUR 23,303","11,700",1.86,"EUR 21,762",
2024-07-24,2024-07-23,learnd SE,"B
Purchase","Rühl, Gisbert

Supervisory Board Member","25

8.20


EUR 220",25,8.20,EUR 205,
2024-07-24,2024-07-23,"Tonkens Agrar AG
(GTK)","B
Purchase","Through Tonkens Holding GmbH, a person closely affiliated to an insider","7,224

7.00


EUR 54,148","7,224",7.00,"EUR 50,568",
2024-07-24,2024-07-23,"Nanorepro AG
(NN6)","B
Purchase","Jüngst, Lisa

Management Board Member","800

1.88


EUR 1,610",800,1.88,"EUR 1,504",
2024-07-24,2024-07-23,"Nanorepro AG
(NN6)","B
Purchase","Stiller, Dr. Olaf

Supervisory Board Member","3,811

1.86


EUR 7,590","3,811",1.86,"EUR 7,088",
2024-07-23,2024-07-23,"Nanorepro AG
(NN6)","B
Purchase","Stiller, Dr. Olaf

Supervisory Board Member","10,807

1.87


EUR 21,639","10,807",1.87,"EUR 20,208",
2024-07-24,2024-07-22,"FCR Immobilien AG
(FC9)","B
Purchase","Through RAT Asset & Trading GmbH, a person closely affiliated to an insider","3,514

9.50


EUR 35,747","3,514",9.50,"EUR 33,383",
2024-07-23,2024-07-22,"FCR Immobilien AG
(FC9)","B
Purchase","Raudies, Falk

Management Board Member","3,514

9.50


EUR 35,747","3,514",9.50,"EUR 33,383",
2024-07-23,2024-07-22,learnd SE,"B
Purchase","Rühl, Gisbert

Supervisory Board Member","25

8.75


EUR 234",25,8.75,EUR 219,
2024-07-22,2024-07-22,"Rubean AG
(R1B)","B
Purchase","Through BMK Holding GmbH, a person closely affiliated to an insider","700

5.95


EUR 4,460",700,5.95,"EUR 4,165",
2024-07-23,2024-07-19,"Netfonds AG
(NF4)","S
Sale","Through KD Investment & Consulting GmbH, a person closely affiliated to an insider","21,000

43.00


EUR 966,932","21,000",43.00,"EUR 903,000",
2024-07-23,2024-07-19,Sartorius Aktiengesellschaft,"B
Purchase","Kappich, Dr. Lothar Ewald

Supervisory Board Member","400

173.35


EUR 74,249",400,173.35,"EUR 69,340",
2024-07-23,2024-07-19,Sartorius Aktiengesellschaft,"B
Purchase","Kappich, Dr. Lothar Ewald

Supervisory Board Member","200

209.20


EUR 44,802",200,209.20,"EUR 41,840",
2024-07-22,2024-07-19,"7C Solarparken AG
(HRPK)","B
Purchase","De Proost, Steven

Management Board Member","10,000

2.24


EUR 23,986","10,000",2.24,"EUR 22,400",
2024-07-22,2024-07-19,"FCR Immobilien AG
(FC9)","B
Purchase","Through RAT Asset & Trading GmbH, a person closely affiliated to an insider","1,453

9.47


EUR 14,730","1,453",9.47,"EUR 13,756",
2024-07-22,2024-07-19,"Tonkens Agrar AG
(GTK)","B
Purchase","Through Tonkens Holding GmbH, a person closely affiliated to an insider","2,000

7.00


EUR 14,991","2,000",7.00,"EUR 14,000",
2024-07-22,2024-07-18,"Tonkens Agrar AG
(GTK)","B
Purchase","Through Tonkens Holding GmbH, a person closely affiliated to an insider","776

6.80


EUR 5,650",776,6.80,"EUR 5,277",
2024-07-18,2024-07-17,"Cantourage Group SE
(HIGH)","S
Sale","Through PiFriva Verwaltungs- und Beteiligungs-GmbH, a person closely affiliated to an insider","70,000

2.00


EUR 149,912","70,000",2.00,"EUR 140,000",
2024-07-18,2024-07-17,"Rheinmetall AG
(RHM)","B
Purchase","Papperger, Armin Theodor

Management Board Member","202

495.00


EUR 107,069",202,495.00,"EUR 99,990",
2024-07-17,2024-07-17,"Fielmann AG
(FIE)","B
Purchase","Bätjer, Steffen

Management Board Member","1,000

42.50


EUR 45,509","1,000",42.50,"EUR 42,500",
2024-07-22,2024-07-16,"FCR Immobilien AG
(FC9)","B
Purchase","Through RAT Asset & Trading GmbH, a person closely affiliated to an insider","33

9.20


EUR 325",33,9.20,EUR 304,
2024-07-16,2024-07-15,"Medondo Holding AG
(AMI)","B
Purchase","Müller, Ulrich

Supervisory Board Member","100,000

1.00


EUR 107,080","100,000",1.00,"EUR 100,000",
2024-07-16,2024-07-15,"Tonkens Agrar AG
(GTK)","B
Purchase","Through Tonkens Holding GmbH, a person closely affiliated to an insider","9,000

7.00


EUR 67,460","9,000",7.00,"EUR 63,000",
2024-07-16,2024-07-15,"Medondo Holding AG
(AMI)","B
Purchase","Müller, Ulrich

Supervisory Board Member","150,000

1.00


EUR 160,620","150,000",1.00,"EUR 150,000",
2024-07-15,2024-07-15,"Fashionette AG
(FSNT)","B
Purchase","Benner, Dr. Dominik Pasqual

Management Board Member","7,000

9.24


EUR 69,259","7,000",9.24,"EUR 64,680",
2024-07-16,2024-07-12,"FCR Immobilien AG
(FC9)","B
Purchase","Through RAT Asset & Trading GmbH, a person closely affiliated to an insider","592

9.70


EUR 6,149",592,9.70,"EUR 5,742",
2024-07-16,2024-07-12,"ProCredit Holding AG
(PCZ)","B
Purchase","Felice, Dr. Gian Marco

Management Board Member","417

8.96


EUR 4,002",417,8.96,"EUR 3,738",
2024-07-16,2024-07-12,"ProCredit Holding AG
(PCZ)","B
Purchase","Dagrosa, Christian

Management Board Member","396

8.96


EUR 3,797",396,8.96,"EUR 3,546",
2024-07-16,2024-07-12,"ProCredit Holding AG
(PCZ)","B
Purchase","Joleska Popovska, Jovanka

Supervisory Board Member","168

8.96


EUR 1,616",168,8.96,"EUR 1,509",
2024-07-16,2024-07-12,"ProCredit Holding AG
(PCZ)","B
Purchase","Chatzis, Georgios

Management Board Member","363

8.96


EUR 3,484",363,8.96,"EUR 3,253",
2024-07-16,2024-07-12,"ProCredit Holding AG
(PCZ)","B
Purchase","Beeck, Christoph

Management Board Member","401

8.96


EUR 3,844",401,8.96,"EUR 3,590",
2024-07-16,2024-07-12,"ProCredit Holding AG
(PCZ)","B
Purchase","Spechtenhauser, Hubert

Management Board Member","565

8.96


EUR 5,425",565,8.96,"EUR 5,067",
2024-07-16,2024-07-12,"ProCredit Holding AG
(PCZ)","B
Purchase","Bibolli, Eriola

Management Board Member","442

8.96


EUR 4,245",442,8.96,"EUR 3,965",
2024-07-15,2024-07-12,"K&S AG
(SDF)","B
Purchase","Tröltzsch, Dr. Carin-Martina

Management Board Member","1,760

11.67


EUR 21,994","1,760",11.67,"EUR 20,539",
2024-07-12,2024-07-11,"QSC AG
(QSC)","B
Purchase","Rixen, Thies

Management Board Member","41,975

0.80


EUR 35,957","41,975",0.80,"EUR 33,580",
2024-07-11,2024-07-11,"RWE AG
(RWE)","B
Purchase","Rocholl, Prof. Jörg

Supervisory Board Member","600

33.35


EUR 21,427",600,33.35,"EUR 20,010",
2024-07-12,2024-07-10,"QSC AG
(QSC)","B
Purchase","Rixen, Thies

Management Board Member","7,880

0.80


EUR 6,751","7,880",0.80,"EUR 6,304",
2024-07-10,2024-07-09,"FCR Immobilien AG
(FC9)","B
Purchase","Through RAT Asset & Trading GmbH, a person closely affiliated to an insider","2,500

8.90


EUR 23,825","2,500",8.90,"EUR 22,250",
