Notification date,Transaction date,Company,"B/S
Transaction type",Insider and/or position,"Nb. shares
Price
Value",Number of shares,Price,Value,Details
2024-07-26,2024-07-25,SYBLY INDUSTRIES LTD.-$,"S
Sale","MAHESH CHAND MITTAL HUF

Large shareholder","1,000

8.95


INR 21,480","1,000",8.95,"INR 100,000",
2024-07-25,2024-07-25,"Milgrey Finance and Investments Ltd
(511018)","S
Sale","Mahendra bachhawat

Large shareholder","85,027

70.36


INR 71,790","85,027",70.36,"INR 5,982,500",
2024-07-25,2024-07-25,"Homesfy Realty Limited
(HOMESFY)","B
Purchase","Ashish Kukreja

Promoters
Large shareholder","600

647.50


INR 4,662",600,647.50,"INR 388,500",
2024-07-26,2024-07-24,"Shoppers Stop Ltd
(SHOPERSTOP)","S
Sale","Sreekanth Chetlur

Employees/Designated Employees
Employee","1,000

770.79


INR 10,692","1,000",770.79,"INR 100,000",
2024-07-25,2024-07-24,SVS Ventures Ltd,"S
Sale","SHASHIKANT SHARMA

Large shareholder","2,394,000

11.93


INR 342,616","2,394,000",11.93,"INR 28,551,323",
2024-07-25,2024-07-24,Rita Finance and Leasing Ltd,"S
Sale","KIRAN MITTAL

Director
Large shareholder","161,150

17.68


INR 34,190","161,150",17.68,"INR 2,849,132",
2024-07-25,2024-07-24,"Trident Lifeline Ltd
(543616)","B
Purchase","SHRAVAN H PATEL

Director","9,000

290.00


INR 31,320","9,000",290.00,"INR 2,610,000",
2024-07-25,2024-07-24,Cospower Engineering Ltd,"S
Sale","Felix Shridhar Kadam

Director","8,000

301.00


INR 28,896","8,000",301.00,"INR 2,408,000",
2024-07-25,2024-07-24,"L&T Technology Services Ltd
(LTTS)","S
Sale","Ankoor Baxi

Officer","558

5,104.98


INR 34,183",558,"5,104.98","INR 2,848,578",
2024-07-25,2024-07-24,"IGC Industries Ltd
(539449)","S
Sale","DISHA ABHISHEK MEHTA

Large shareholder","35,000

36.00


INR 15,120","35,000",36.00,"INR 1,260,000",
2024-07-25,2024-07-24,"Mahindra Lifespace Developers Ltd
(MAHLIFE)","B
Purchase","Nandan Mallya

Officer","2,450

625.95


INR 18,403","2,450",625.95,"INR 1,533,578",
2024-07-24,2024-07-24,"Mishtann Foods Ltd
(539594)","S
Sale","Hiteshkumar Gaurishankar Patel

Director
Large shareholder","14,300,000

16.86


INR 2,893,176","14,300,000",16.86,"INR 241,098,000",
2024-07-24,2024-07-24,"Milgrey Finance and Investments Ltd
(511018)","S
Sale","Mahendra bachhawat

Large shareholder","28,000

69.00


INR 23,184","28,000",69.00,"INR 1,932,000",
2024-07-24,2024-07-24,"Homesfy Realty Limited
(HOMESFY)","B
Purchase","Ashish Kukreja

Promoters
Large shareholder","300

664.00


INR 2,390",300,664.00,"INR 199,200",
2024-07-24,2024-07-24,"Sanginita Chemicals Ltd
(SANGINITA)","S
Sale","Sanginita Industries LLP

Promoters
Large shareholder","43,909

17.23


INR 9,079","43,909",17.23,"INR 756,549",
2024-07-24,2024-07-23,"Trident Lifeline Ltd
(543616)","S
Sale","RINKAL MAYURBHAI GAJERA

Large shareholder","13,200

290.98


INR 46,092","13,200",290.98,"INR 3,840,975",
2024-07-24,2024-07-23,"Mishtann Foods Ltd
(539594)","S
Sale","Hiteshkumar Gaurishankar Patel

Director
Large shareholder","4,700,000

16.70


INR 941,880","4,700,000",16.70,"INR 78,490,000",
2024-07-24,2024-07-23,"Avenue Supermarts Ltd
(DMART)","S
Sale","BIMAL SURESHCHANDRA DESAI

-","500

5,075.00


INR 30,450",500,"5,075.00","INR 2,537,500",
2024-07-24,2024-07-23,"Avenue Supermarts Ltd
(DMART)","S
Sale","KIRTESH MAHADEVPRASAD VYAS

-","50

5,065.00


INR 3,039",50,"5,065.00","INR 253,250",
2024-07-24,2024-07-23,"Avenue Supermarts Ltd
(DMART)","S
Sale","PARAG B LOKHANDE

-","500

5,000.00


INR 30,000",500,"5,000.00","INR 2,500,000",
2024-07-24,2024-07-23,"Agarwal Float Glass India Limited
(AGARWALFT)","S
Sale","UMA SHANKAR AGARWAL

Promoters
Large shareholder","3,000

84.70


INR 3,049","3,000",84.70,"INR 254,085",
2024-07-24,2024-07-23,"Sanginita Chemicals Ltd
(SANGINITA)","S
Sale","Sanginita Industries LLP

Promoters
Large shareholder","26,415

17.41


INR 5,518","26,415",17.41,"INR 459,865",
2024-07-23,2024-07-23,"Insolation Energy Ltd
(543620)","B
Purchase","Through Mahendra Kumar Jain, a person closely affiliated to an insider
Large shareholder","500

3,060.00


INR 18,360",500,"3,060.00","INR 1,530,000",
