Notification date,Transaction date,Company,"B/S
Transaction type",Insider and/or position,"Nb. shares
Price
Value",Number of shares,Price,Value,Details
2024-07-26,2024-07-24,"Avio SpA
(AVIO)","B
Purchase","Giovanni Gorno Tempini

Amministratore Indipendente e Vice Presidente del Consiglio di Amministrazione
Director","1,000

12.70


EUR 37,422","1,000",12.70,"EUR 100,000",
2024-07-26,2024-07-24,"Avio SpA
(AVIO)","B
Purchase","Giovanni Gorno Tempini

Amministratore Indipendente e Vice Presidente del Consiglio di Amministrazione
Director","1,000

12.62


EUR 12,405","1,000",12.62,"EUR 100,000",
2024-07-26,2024-07-24,"Avio SpA
(AVIO)","B
Purchase","Giovanni Gorno Tempini

Amministratore Indipendente e Vice Presidente del Consiglio di Amministrazione
Director","1,000

12.72


EUR 18,112","1,000",12.72,"EUR 100,000",
2024-07-25,2024-07-24,"Mondo TV SpA
(MTV)","B
Purchase","MATTEO CORRADI

Amministratore Delegato e Presidente del CdA
Director","22,500

0.18


EUR 4,452","22,500",0.18,"EUR 4,158",
2024-07-25,2024-07-24,"Mondo TV SpA
(MTV)","B
Purchase","GIULIANA BERTOZZI

Socio con partecipazione > 10%
Large shareholder","100,000

0.18


EUR 19,542","100,000",0.18,"EUR 18,250",
2024-07-25,2024-07-24,Abc Company S.P.A.,"B
Purchase","EXENTIAL CONSULTING SRL

CONSIGLIERE DI AMMINISTRAZIONE
Director","51,000

2.76


EUR 150,726","51,000",2.76,"EUR 140,760",
2024-07-26,2024-07-23,"Salcef Group SpA
(SCF)","B
Purchase","Salbid S.p.A.

Amministratore Unico
Director","1,000

0.00


EUR 0","1,000",0.00,"EUR 100,000",
2024-07-26,2024-07-23,"Salcef Group SpA
(SCF)","B
Purchase","Salbid S.p.A.

Amministratore Unico
Director","1,000

0.00


EUR 0","1,000",0.00,"EUR 100,000",
2024-07-24,2024-07-23,"Mondo TV SpA
(MTV)","B
Purchase","GIULIANA BERTOZZI

Socio con partecipazione > 10%
Large shareholder","30,000

0.19


EUR 6,071","30,000",0.19,"EUR 5,670",
2024-07-24,2024-07-22,"Simone SpA
(SMN)","B
Purchase","GIUNIMA SRL

Amministratrice Unica/Azionista di controllo dell’emittente","1,000

1.86


EUR 1,992","1,000",1.86,"EUR 1,860",
2024-07-25,2024-07-19,"Bifire SpA
(FIRE)","S
Sale","ALFREDO VARINI

SALES AND R&D DIRECTOR","80,500

3.12


EUR 268,942","80,500",3.12,"EUR 251,160",
2024-07-24,2024-07-19,"Pharmanutra SpA
(PHN)","B
Purchase","Beda S.r.l.

Carlo Volpi - Amministratore esecutivo di Pharmanutra S.p.A. e Amministratore Unico di Beda S.r.l.
Director","830

47.61


EUR 42,314",830,47.61,"EUR 39,517",
