Notification date,Transaction date,Company,"B/S
Transaction type",Insider and/or position,"Nb. shares
Price
Value",Number of shares,Price,Value,Details
2024-07-26,2024-07-26,Nanoecho Ab,"B
Purchase","Ann-Christin Malmborg Hager

Member of the Board of Directors
Director","1,000

0.14


SEK 18,860","1,000",0.14,"SEK 100,000",
2024-07-26,2024-07-26,"Logistea AB (publ)
(LOG)","B
Purchase","M2 Asset Management AB

Member of the Board of Directors
Through a closely affiliated person
Director","1,000

15.00


SEK 4,243,500","1,000",15.00,"SEK 100,000",
2024-07-26,2024-07-26,"Triboron International AB
(TRIBO-B)","B
Purchase","Henry Sténson

Member of the Board of Directors
Director","1,000

0.28


SEK 23,575","1,000",0.28,"SEK 100,000",
2024-07-26,2024-07-26,"My Beat AB
(MYBEAT)","B
Purchase","Ida Selliseth Bakken

Member of the Board of Directors
Through a closely affiliated person
Director","1,000

0.52


SEK 8,483","1,000",0.52,"SEK 100,000",
2024-07-26,2024-07-26,"BioArctic AB
(BIOA-B)","B
Purchase","Setraco AB

Chairman of the Board of Directors
Through a closely affiliated person
Director","1,000

161.36


SEK 76,081","1,000",161.36,"SEK 100,000",
2024-07-26,2024-07-26,"Trelleborg AB
(TREL-B)","B
Purchase","Måns Patrik Romberg

Other senior executive
Officer","1,000

393.00


SEK 25,942","1,000",393.00,"SEK 100,000",
2024-07-26,2024-07-26,"BioArctic AB
(BIOA-B)","B
Purchase","Setraco AB

Chairman of the Board of Directors
Through a closely affiliated person
Director","1,000

147.62


SEK 55,682","1,000",147.62,"SEK 100,000",
2024-07-26,2024-07-26,"My Beat AB
(MYBEAT)","B
Purchase","Steffen Kalve

Member of the Board of Directors
Director","1,000

0.44


SEK 4,616","1,000",0.44,"SEK 100,000",
2024-07-26,2024-07-26,Nordnet AB,"B
Purchase","Sofia Dinkelspiel Ekman

Chairman of the Board of Directors
Through a closely affiliated person
Director","1,000

224.00


SEK 211,232","1,000",224.00,"SEK 100,000",
2024-07-26,2024-07-26,"Fleming Properties AB
(FLMNG)","S
Sale","Runeberg Fastigheter AB

Member of the Board of Directors
Through a closely affiliated person
Director","1,000

5.80


SEK 547","1,000",5.80,"SEK 100,000",
2024-07-26,2024-07-26,"Swedencare AB (publ)
(SECARE)","B
Purchase","Mastan AB

Chief Executive Officer (CEO)/Managing Directory
Through a closely affiliated person
Officer","20,000

47.06


SEK 88,755","20,000",47.06,"SEK 941,200",
2024-07-26,2024-07-26,Mastan AB,"B
Purchase","Mastan AB

Chief Executive Officer (CEO)/Managing Directory
Through a closely affiliated person
Officer","20,000

47.06


SEK 88,755","20,000",47.06,"SEK 941,200",
2024-07-26,2024-07-25,"Absolent Air Care Group AB
(ABSO)","B
Purchase","Axel Berntsson

Chief Executive Officer (CEO)/Managing Directory
Officer","15,500

328.00


SEK 479,421","15,500",328.00,"SEK 5,084,000",
2024-07-26,2024-07-25,"Absolent Air Care Group AB
(ABSO)","S
Sale","Axel Berntsson

Chief Executive Officer (CEO)/Managing Directory
Officer","15,500

328.00


SEK 479,421","15,500",328.00,"SEK 5,084,000",
2024-07-26,2024-07-25,"Lindab International AB
(LIAB)","B
Purchase","Karel Kleinmond

Other senior executive
Officer","10,000

222.00


SEK 209,346","10,000",222.00,"SEK 2,220,000",
2024-07-26,2024-07-25,"Bulten AB
(BULTEN)","B
Purchase","Volito Aktiebolag

Chairman of the Board of Directors
Through a closely affiliated person
Director","42,582

76.34


SEK 306,542","42,582",76.34,"SEK 3,250,710",
