Notification date,Transaction date,Company,"B/S
Transaction type",Insider and/or position,"Nb. shares
Price
Value",Number of shares,Price,Value,Details
2024-07-25,2024-07-25,"Schindler Holding AG
(SCHP)","B
Purchase",Non-Executive Director,"605,140

220.00


CHF 148,108,015","605,140",220.00,"CHF 133,130,800",
2024-07-25,2024-07-25,"Julius Baer Gruppe AG
(BAER)","B
Purchase",Executive Director / Officer,"1,000

47.08


CHF 52,380","1,000",47.08,"CHF 47,083",
2024-07-25,2024-07-25,"Julius Baer Gruppe AG
(BAER)","B
Purchase",Executive Director / Officer,"1,060

47.07


CHF 55,512","1,060",47.07,"CHF 49,899",
2024-07-25,2024-07-25,"Julius Baer Gruppe AG
(BAER)","B
Purchase",Executive Director / Officer,"2,000

46.54


CHF 103,552","2,000",46.54,"CHF 93,080",
2024-07-25,2024-07-25,"Helvetia Holding AG
(HELN)","S
Sale",Executive Director / Officer,"400

129.80


CHF 57,761",400,129.80,"CHF 51,920",
2024-07-25,2024-07-25,"Wisekey International Holding AG
(WIHN)","B
Purchase",Executive Director / Officer,"1,250

4.00


CHF 5,563","1,250",4.00,"CHF 5,000",
2024-07-24,2024-07-24,"Kuehne und Nagel International AG
(KNIN)","S
Sale",Non-Executive Director,"5,000

273.30


CHF 1,520,257","5,000",273.30,"CHF 1,366,523",
2024-07-24,2024-07-24,"Nebag ag
(NBEN)","B
Purchase",Executive Director / Officer,"6,680

7.00


CHF 52,021","6,680",7.00,"CHF 46,760",
2024-07-24,2024-07-24,Chocoladefabriken Lindt & Sprungli AG,"B
Purchase",Executive Director / Officer,"1

106,800.00


CHF 118,815",1,"106,800.00","CHF 106,800",
2024-07-24,2024-07-24,"Alpine Select AG
(ALPN)","B
Purchase",Executive Director / Officer,"1,000

7.60


CHF 8,455","1,000",7.60,"CHF 7,600",
2024-07-23,2024-07-23,"Jungfraubahn Holding AG
(JFN)","S
Sale",Executive Director / Officer,"683

201.19


CHF 152,872",683,201.19,"CHF 137,413",
2024-07-23,2024-07-23,"Nebag ag
(NBEN)","B
Purchase",Executive Director / Officer,"2,055

6.95


CHF 15,889","2,055",6.95,"CHF 14,282",
2024-07-23,2024-07-23,"Lalique Group SA
(LLQ)","B
Purchase",Executive Director / Officer,"21

38.00


CHF 888",21,38.00,CHF 798,
2024-07-23,2024-07-23,"DKSH Holding AG
(DKSH)","S
Sale",Executive Director / Officer,"1,500

68.40


CHF 114,143","1,500",68.40,"CHF 102,600",
2024-07-23,2024-07-23,"Alpine Select AG
(ALPN)","B
Purchase",Executive Director / Officer,"2,088

7.61


CHF 17,689","2,088",7.61,"CHF 15,900",
2024-07-22,2024-07-22,"V-ZUG Holding AG
(VZUG)","B
Purchase",Executive Director / Officer,"300

53.00


CHF 17,689",300,53.00,"CHF 15,900",
2024-07-22,2024-07-22,"Nebag ag
(NBEN)","B
Purchase",Executive Director / Officer,"2,917

7.00


CHF 22,716","2,917",7.00,"CHF 20,419",
2024-07-22,2024-07-22,"Jungfraubahn Holding AG
(JFN)","S
Sale",Executive Director / Officer,"680

201.08


CHF 152,118",680,201.08,"CHF 136,736",
2024-07-22,2024-07-22,"Alpine Select AG
(ALPN)","B
Purchase",Executive Director / Officer,"456

7.68


CHF 3,897",456,7.68,"CHF 3,503",
2024-07-19,2024-07-19,"Lalique Group SA
(LLQ)","B
Purchase",Executive Director / Officer,"423,034

40.00


CHF 18,825,013","423,034",40.00,"CHF 16,921,360",
2024-07-19,2024-07-19,"Jungfraubahn Holding AG
(JFN)","S
Sale",Executive Director / Officer,"1,588

201.44


CHF 355,880","1,588",201.44,"CHF 319,893",
2024-07-19,2024-07-19,"Private Equity Holding AG
(PEHN)","B
Purchase",Executive Director / Officer,"4,518

74.93


CHF 376,594","4,518",74.93,"CHF 338,511",
2024-07-19,2024-07-19,"Nebag ag
(NBEN)","B
Purchase",Executive Director / Officer,"5,454

7.00


CHF 42,473","5,454",7.00,"CHF 38,178",
2024-07-19,2024-07-19,"Alpine Select AG
(ALPN)","B
Purchase",Executive Director / Officer,"1,991

7.53


CHF 16,682","1,991",7.53,"CHF 14,995",
2024-07-19,2024-07-19,"Bergbahnen Engelberg Truebsee Titlis Bet AG
(TIBN)","B
Purchase",Non-Executive Director,"1,000

41.00


CHF 45,613","1,000",41.00,"CHF 41,000",
2024-07-18,2024-07-18,"DKSH Holding AG
(DKSH)","S
Sale",Executive Director / Officer,"1,000

67.00


CHF 74,538","1,000",67.00,"CHF 67,000",
2024-07-18,2024-07-18,"Lalique Group SA
(LLQ)","B
Purchase",Non-Executive Director,"12

40.00


CHF 534",12,40.00,CHF 480,
2024-07-18,2024-07-18,"Jungfraubahn Holding AG
(JFN)","S
Sale",Executive Director / Officer,"40

202.00


CHF 8,989",40,202.00,"CHF 8,080",
2024-07-18,2024-07-18,"Nebag ag
(NBEN)","B
Purchase",Executive Director / Officer,"1,570

7.00


CHF 12,226","1,570",7.00,"CHF 10,990",
2024-07-18,2024-07-18,"Edisun Power Europe AG
(ESUN)","B
Purchase",Non-Executive Director,"10

78.00


CHF 868",10,78.00,CHF 780,
2024-07-17,2024-07-17,"Nebag ag
(NBEN)","B
Purchase",Executive Director / Officer,"1,146

7.00


CHF 8,924","1,146",7.00,"CHF 8,022",
2024-07-17,2024-07-17,"Jungfraubahn Holding AG
(JFN)","S
Sale",Executive Director / Officer,"382

201.02


CHF 85,429",382,201.02,"CHF 76,791",
2024-07-16,2024-07-16,"Jungfraubahn Holding AG
(JFN)","S
Sale",Executive Director / Officer,"905

201.40


CHF 202,769",905,201.40,"CHF 182,264",
2024-07-16,2024-07-16,"Swatch Group AG
(UHR)","B
Purchase",Executive Director / Officer,"321,033

34.00


CHF 12,144,826","321,033",34.00,"CHF 10,916,698",
