Notification date,Transaction date,"B/S
Transaction type",Insider and/or position,"Nb. shares
Price
Value",Number of shares,Price,Value,Details
2024-07-18,2024-07-17,"S
Sale","Pichai Sundar

Chief Executive Officer
Executive Director","1,000
-0.0%

184.32


USD 184,323","1,000
-0.0%",184.32,"USD 100,000",
2024-07-18,2024-07-17,"S
Sale","Pichai Sundar

Chief Executive Officer
Executive Director","1,000
-0.4%

183.14


USD 1,675,534","1,000
-0.4%",183.14,"USD 100,000",
2024-07-18,2024-07-17,"S
Sale","Pichai Sundar

Chief Executive Officer
Executive Director","1,000
-0.6%

182.49


USD 2,253,946","1,000
-0.6%",182.49,"USD 100,000",
2024-07-16,2024-07-12,"S
Sale","HENNESSY JOHN L

Non-Executive Director","1,000
-1.5%

186.41


USD 88,360","1,000
-1.5%",186.41,"USD 100,000",
2024-07-16,2024-07-12,"S
Sale","HENNESSY JOHN L

Non-Executive Director","1,000
-3.2%

185.59


USD 190,415","1,000
-3.2%",185.59,"USD 100,000",
2024-07-03,2024-07-03,"S
Sale","Pichai Sundar

Chief Executive Officer
Executive Director","13,525
-0.6%

187.18


USD 2,531,619","13,525
-0.6%",187.18,"USD 2,531,619",
2024-07-03,2024-07-03,"S
Sale","Pichai Sundar

Chief Executive Officer
Executive Director","8,975
-0.4%

186.09


USD 1,670,129","8,975
-0.4%",186.09,"USD 1,670,129",
2024-07-02,2024-07-02,"S
Sale","O'Toole Amie Thuener

VP, Chief Accounting Officer
Officer","682
-2.2%

183.47


USD 125,127","682
-2.2%",183.47,"USD 125,127",
2024-07-02,2024-07-01,"S
Sale","RAGHAVAN PRABHAKAR

Senior Vice President
Officer","100
-91.7%

185.14


USD 18,514","100
-91.7%",185.14,"USD 18,514",
2024-07-02,2024-07-01,"S
Sale","RAGHAVAN PRABHAKAR

Senior Vice President
Officer","1,662
-93.8%

184.29


USD 306,282","1,662
-93.8%",184.29,"USD 306,282",
2024-07-02,2024-07-01,"S
Sale","RAGHAVAN PRABHAKAR

Senior Vice President
Officer","1,500
-45.9%

183.58


USD 275,376","1,500
-45.9%",183.58,"USD 275,376",
2024-06-21,2024-06-20,"S
Sale","Pichai Sundar

Chief Executive Officer
Executive Director","7,404
-0.3%

177.75


USD 1,316,085","7,404
-0.3%",177.75,"USD 1,316,085",
2024-06-21,2024-06-20,"S
Sale","Pichai Sundar

Chief Executive Officer
Executive Director","15,096
-0.7%

177.23


USD 2,675,393","15,096
-0.7%",177.23,"USD 2,675,393",
2024-06-12,2024-06-12,"S
Sale","HENNESSY JOHN L

Non-Executive Director","11
-0.0%

179.19


USD 1,971","11
-0.0%",179.19,"USD 1,971",
2024-06-12,2024-06-12,"S
Sale","HENNESSY JOHN L

Non-Executive Director","130
-0.4%

178.54


USD 23,210","130
-0.4%",178.54,"USD 23,210",
2024-06-12,2024-06-12,"S
Sale","HENNESSY JOHN L

Non-Executive Director","176
-0.5%

177.38


USD 31,218","176
-0.5%",177.38,"USD 31,218",
2024-06-12,2024-06-12,"S
Sale","HENNESSY JOHN L

Non-Executive Director","519
-1.6%

176.73


USD 91,724","519
-1.6%",176.73,"USD 91,724",
2024-06-12,2024-06-12,"S
Sale","HENNESSY JOHN L

Non-Executive Director","53
-1.4%

180.66


USD 9,575","53
-1.4%",180.66,"USD 9,575",
2024-06-12,2024-06-12,"S
Sale","HENNESSY JOHN L

Non-Executive Director","155
-3.9%

179.36


USD 27,801","155
-3.9%",179.36,"USD 27,801",
2024-06-12,2024-06-12,"S
Sale","HENNESSY JOHN L

Non-Executive Director","424
-9.7%

178.51


USD 75,690","424
-9.7%",178.51,"USD 75,690",
2024-06-12,2024-06-12,"S
Sale","HENNESSY JOHN L

Non-Executive Director","32
-0.7%

177.97


USD 5,695","32
-0.7%",177.97,"USD 5,695",
2024-06-05,2024-06-05,"S
Sale","Pichai Sundar

Chief Executive Officer
Executive Director","3,076
-0.1%

177.52


USD 546,064","3,076
-0.1%",177.52,"USD 546,064",
2024-06-05,2024-06-05,"S
Sale","Pichai Sundar

Chief Executive Officer
Executive Director","11,323
-0.5%

176.75


USD 2,001,328","11,323
-0.5%",176.75,"USD 2,001,328",
2024-06-05,2024-06-05,"S
Sale","Pichai Sundar

Chief Executive Officer
Executive Director","8,101
-0.4%

175.99


USD 1,425,730","8,101
-0.4%",175.99,"USD 1,425,730",
2024-06-03,2024-06-03,"S
Sale","O'Toole Amie Thuener

VP, Chief Accounting Officer
Officer","682
-2.2%

173.86


USD 118,573","682
-2.2%",173.86,"USD 118,573",
2024-05-15,2024-05-15,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","12,496
-0.6%

173.57


USD 2,168,962","12,496
-0.6%",173.57,"USD 2,168,962",
2024-05-15,2024-05-15,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","12,496
-0.6%

173.57


USD 2,168,962","12,496
-0.6%",173.57,"USD 2,168,962",
2024-05-15,2024-05-15,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","10,004
-0.4%

172.78


USD 1,728,535","10,004
-0.4%",172.78,"USD 1,728,535",
2024-05-15,2024-05-15,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","10,004
-0.4%

172.78


USD 1,728,535","10,004
-0.4%",172.78,"USD 1,728,535",
2024-05-13,2024-05-13,"S
Sale","HENNESSY JOHN L




Non-Executive Director","473
-9.7%

169.50


USD 80,172","473
-9.7%",169.50,"USD 80,172",
