Notification date,Transaction date,"B/S
Transaction type",Insider and/or position,"Nb. shares
Price
Value",Number of shares,Price,Value,Details
2024-07-17,2024-07-15,"S
Sale",Infosys Employee Benefits Trust,"1,000

1,718.95


INR 72,897","1,000","1,718.95","INR 100,000",
2024-05-28,2024-05-24,"S
Sale",Infosys Employee Benefits Trust,"2,682

1,471.35


INR 47,354","2,682","1,471.35","INR 3,946,161",
2024-05-27,2024-05-21,"S
Sale","Infosys Employee Benefits Trust

Other","605

1,436.61


INR 10,430",605,"1,436.61","INR 869,149",
2024-05-20,2024-05-14,"S
Sale",Infosys Employee Benefits Trust,"388,098

1,453.35


INR 6,768,507","388,098","1,453.35","INR 564,042,228",
2024-05-13,2024-05-08,"S
Sale","Infosys Employee Benefits Trust

Other","115,890

1,436.28


INR 1,997,406","115,890","1,436.28","INR 166,450,489",
2024-05-10,2024-05-06,"S
Sale",Infosys Employee Benefits Trust,"101,502

1,427.30


INR 1,738,486","101,502","1,427.30","INR 144,873,805",
2024-05-02,2024-04-26,"S
Sale","Infosys Employee Benefits Trust

Other","52,336

1,436.91


INR 902,425","52,336","1,436.91","INR 75,202,122",
2024-04-22,2024-04-16,"S
Sale",Infosys Employee Benefits Trust,"8,508

1,414.00


INR 144,364","8,508","1,414.00","INR 12,030,312",
2024-03-22,2024-03-19,"S
Sale",Infosys Employee Benefits Trust,"5,765

1,554.70


INR 108,450","5,765","1,554.70","INR 8,962,846",
2024-03-19,2024-03-14,"S
Sale",Infosys Employee Benefits Trust,"142,042

1,634.00


INR 2,808,369","142,042","1,634.00","INR 232,096,628",
2024-03-18,2024-03-12,"S
Sale","Infosys Employee Benefits Trust

Other","6,534

1,619.61


INR 128,049","6,534","1,619.61","INR 10,582,532",
2024-02-27,2024-02-22,"S
Sale",Infosys Employee Benefits Trust,"107,026

1,676.00


INR 2,170,444","107,026","1,676.00","INR 179,375,576",
2024-02-26,2024-02-22,"S
Sale","Hemant Lamba

Officer","2,500

1,677.27


INR 50,737","2,500","1,677.27","INR 4,193,173",
2024-02-20,2024-02-14,"S
Sale",Infosys Employee Benefits Trust,"33,655

1,700.00


INR 686,562","33,655","1,700.00","INR 57,213,500",
2024-02-14,2024-02-09,"S
Sale",Infosys Employee Benefits Trust,"12,998

1,675.00


INR 263,437","12,998","1,675.00","INR 21,771,650",
2024-02-13,2024-02-07,"S
Sale",Infosys Employee Benefits Trust,"15,407

1,696.37


INR 313,632","15,407","1,696.37","INR 26,135,973",
2024-02-07,2024-02-02,"S
Sale",Infosys Employee Benefits Trust,"8,155

1,687.20


INR 166,485","8,155","1,687.20","INR 13,759,116",
2024-01-29,2024-01-19,"S
Sale",Infosys Employee Benefits Trust,"1,054

1,648.85


INR 20,855","1,054","1,648.85","INR 1,737,888",
2023-12-28,2023-12-22,"S
Sale",Infosys Employee Benefits Trust,"3,196

1,535.50


INR 58,889","3,196","1,535.50","INR 4,907,458",
