Notification date,Transaction date,Company,"B/S
Transaction type",Insider and/or position,"Nb. shares
Price
Value",Number of shares,Price,Value,Details
2024-07-26,2024-07-24,The London Tunnels PLC,"S
Sale","Murray A.


CEO of the issuer

Through
Cupcake Partners Limited
, a closely affiliated person","1,000

2.00


GBP 49,567","1,000",2.00,"GBP 100,000",
2024-07-26,2024-07-22,Coca-Cola European Partners plc,"S
Sale","Callol A.


Chief Public Affairs, Communications and Sustainability Officer","1,000

73.81


USD 212","1,000",73.81,"USD 100,000",
2024-07-26,2024-07-22,Coca-Cola European Partners plc,"S
Sale","Echeverría J.A.


Chief Customer Service and Supply Chain Officer","1,000

73.81


USD 260","1,000",73.81,"USD 100,000",
2024-07-25,2024-07-22,The London Tunnels PLC,"S
Sale","Murray A.


CEO of the issuer

Through
Cupcake Partners Limited
, a closely affiliated person","11,323

2.00


GBP 28,638","11,323",2.00,"GBP 22,646",
2024-07-25,2024-07-19,Goldman Sachs Asset Management B.V.,"B
Purchase","Overbeek, van B.G.J.


Chief Operations Officer","135

39.74


EUR 5,761",135,39.74,"EUR 5,380",
2024-07-25,2024-07-18,Goldman Sachs Asset Management B.V.,"B
Purchase","Overbeek, van B.G.J.


Chief Operations Officer","4

72.22


EUR 339",4,72.22,EUR 317,
2024-07-25,2024-07-18,The London Tunnels PLC,"S
Sale","Murray A.


CEO of the issuer

Through
Cupcake Partners Limited
, a closely affiliated person","199

2.00


GBP 503",199,2.00,GBP 398,
2024-07-25,2024-07-17,Icecat N.V.,"B
Purchase","Hoogeveen M.


CEO van Icecat NV

Through
Icecat International B.V.
, a closely affiliated person","4,050

8.08


EUR 35,041","4,050",8.08,"EUR 32,724",
2024-07-19,2024-07-16,The London Tunnels PLC,"S
Sale","Murray A.


CEO of the issuer

Through
Cupcake Partners Limited
, a closely affiliated person","306

2.00


GBP 774",306,2.00,GBP 612,
2024-07-19,2024-07-15,The London Tunnels PLC,"S
Sale","Murray A.


CEO of the issuer

Through
Cupcake Partners Limited
, a closely affiliated person","10,566

2.00


GBP 26,724","10,566",2.00,"GBP 21,132",
2024-07-19,2024-07-12,The London Tunnels PLC,"S
Sale","Murray A.


CEO of the issuer

Through
Cupcake Partners Limited
, a closely affiliated person","18,909

2.00


GBP 47,825","18,909",2.00,"GBP 37,818",
2024-07-19,2024-07-11,The London Tunnels PLC,"S
Sale","Murray A.


CEO of the issuer

Through
Cupcake Partners Limited
, a closely affiliated person","20,960

2.00


GBP 53,012","20,960",2.00,"GBP 41,920",
